date,tournament,level,round,round_name,team1,team2,score,winner,duration_min,n_sets,status,category
2026-07-16,Málaga P1 2026,P1,8,Round of 16,Jose Jimenez / Javier Garcia,Lucas Campagnolo / Momo Gonzalez,0-6 · 0-6,Lucas Campagnolo / Momo Gonzalez,48.0,2,finished,men
2026-07-16,Málaga P1 2026,P1,8,Round of 16,Francisco Guerrero / Javier Leal,Jose Antonio Diestro / Ignacio Piotto,6-1 · 6-2,Francisco Guerrero / Javier Leal,51.0,2,finished,men
2026-07-16,Málaga P1 2026,P1,8,Round of 16,Juan Tello / Maximiliano Arce,Alejandro Galan / Federico Chingotto,2-6 · 3-6,Alejandro Galan / Federico Chingotto,68.0,2,finished,men
2026-07-16,-,-,16,Round of 32,Javier Antonio Cincotta / Ivan Ignacio Herrera,Chris Salisbury / Alfonso Patacho,2-6 · 2-6,Chris Salisbury / Alfonso Patacho,,2,finished,men
2026-07-16,-,-,16,Round of 32,Oliver Jacobson / Oscar Jacobson,Brian Condren / Harry Bingham,6-4 · 6-2,Oliver Jacobson / Oscar Jacobson,,2,finished,men
2026-07-16,-,-,16,Round of 32,Louis Jover / Hamza Berrahou,Theodore Garton / Cameron Dollimore,1-6 · 0-6,Theodore Garton / Cameron Dollimore,,2,finished,men
2026-07-15,Málaga P1 2026,P1,16,Round of 32,Agustin Tapia / Arturo Coello,David Gala / Enzo Jensen,6-3 · 6-2,Agustin Tapia / Arturo Coello,62.0,2,finished,men
2026-07-15,Málaga P1 2026,P1,16,Round of 32,Pablo Garcia Rodrigo / Pablo Lijo,Tolito Aguirre / Alejandro Arroyo,3-6 · 3-6,Tolito Aguirre / Alejandro Arroyo,79.0,2,finished,men
2026-07-15,Málaga P1 2026,P1,16,Round of 32,Edu Alonso / Aimar Goñi,Luciano Capra / Luis Hernandez,6-4 · 6-3,Edu Alonso / Aimar Goñi,76.0,2,finished,men
2026-07-15,Málaga P1 2026,P1,16,Round of 32,Martin Di Nenno / Francisco Navarro,Juan Zamora Perez / Pablo Sanchez Vicente,6-2 · 6-2,Martin Di Nenno / Francisco Navarro,76.0,2,finished,men
2026-07-15,Málaga P1 2026,P1,16,Round of 32,Jose Solano Marmolejo / Ramiro Pereyra,Franco Stupaczuk / Miguel Yanguas,2-6 · 4-6,Franco Stupaczuk / Miguel Yanguas,85.0,2,finished,men
2026-07-15,Málaga P1 2026,P1,16,Round of 32,Juan Lebron / Leo Augsburger,Marc Sintes Villalonga / Daniel Santigosa,6-3 · 6-4,Juan Lebron / Leo Augsburger,77.0,2,finished,men
2026-07-15,Málaga P1 2026,P1,16,Round of 32,Jose Antonio Diestro / Ignacio Piotto,Gonzalo Alfonso / Javier Barahona,6-3 · 4-6 · 7-5,Jose Antonio Diestro / Ignacio Piotto,132.0,3,finished,men
2026-07-15,Málaga P1 2026,P1,16,Round of 32,Denis Tomas Perino / Facundo Dominguez,Alejandro Galan / Federico Chingotto,0-6 · 3-6,Alejandro Galan / Federico Chingotto,56.0,2,finished,men
2026-07-14,Málaga P1 2026,P1,16,Round of 32,Enrique Goenaga / Manuel Castaño,Jorge Nieto / Jon Sanz,4-6 · 3-6,Jorge Nieto / Jon Sanz,79.0,2,finished,men
2026-07-14,Málaga P1 2026,P1,16,Round of 32,Alonso Rodriguez Martinez / Juan Ignacio De Pascual,Jairo Bautista / Inigo Jofre,7-6(6) · 6-3,Alonso Rodriguez Martinez / Juan Ignacio De Pascual,83.0,2,finished,men
2026-07-14,Málaga P1 2026,P1,16,Round of 32,Javier Garrido / Lucas Bergamini,Miguel Benitez / Aris Patiniotis,4-6 · 6-4 · 6-2,Javier Garrido / Lucas Bergamini,139.0,3,finished,men
2026-07-14,Málaga P1 2026,P1,16,Round of 32,Sanyo Gutierrez / Maxi Sanchez Blasco,Juanlu Esbri / Alex Ruiz,7-6(3) · 6-4,Sanyo Gutierrez / Maxi Sanchez Blasco,89.0,2,finished,men
2026-07-14,Málaga P1 2026,P1,16,Round of 32,Javier Garcia / Jose Jimenez,Dylan Guichard / Clement Geens,6-4 · 6-2,Javier Garcia / Jose Jimenez,79.0,2,finished,men
